date,weak,isPartial
2016-01-03,70,False
2016-01-10,73,False
2016-01-17,78,False
2016-01-24,81,False
2016-01-31,86,False
2016-02-07,85,False
2016-02-14,85,False
2016-02-21,95,False
2016-02-28,97,False
2016-03-06,94,False
2016-03-13,89,False
2016-03-20,96,False
2016-03-27,91,False
2016-04-03,94,False
2016-04-10,100,False
2016-04-17,91,False
2016-04-24,95,False
2016-05-01,88,False
2016-05-08,82,False
2016-05-15,82,False
2016-05-22,81,False
2016-05-29,79,False
2016-06-05,79,False
2016-06-12,74,False
2016-06-19,75,False
2016-06-26,69,False
2016-07-03,75,False
2016-07-10,85,False
2016-07-17,90,False
2016-07-24,87,False
2016-07-31,83,False
2016-08-07,72,False
2016-08-14,70,False
2016-08-21,78,False
2016-08-28,78,False
2016-09-04,81,False
2016-09-11,89,False
2016-09-18,91,False
2016-09-25,86,False
2016-10-02,94,False
2016-10-09,86,False
2016-10-16,86,False
2016-10-23,86,False
2016-10-30,87,False
2016-11-06,82,False
2016-11-13,86,False
2016-11-20,80,False
2016-11-27,89,False
2016-12-04,88,False
2016-12-11,87,False
2016-12-18,70,False
2016-12-25,76,False
