geoName,weak
Alabama,95
Alaska,78
Arizona,83
Arkansas,95
California,89
Colorado,75
Connecticut,90
Delaware,94
District of Columbia,66
Florida,79
Georgia,90
Hawaii,90
Idaho,89
Illinois,82
Indiana,91
Iowa,84
Kansas,80
Kentucky,88
Louisiana,87
Maine,82
Maryland,85
Massachusetts,81
Michigan,84
Minnesota,82
Mississippi,97
Missouri,82
Montana,68
Nebraska,79
Nevada,81
New Hampshire,77
New Jersey,81
New Mexico,81
New York,84
North Carolina,91
North Dakota,79
Ohio,86
Oklahoma,86
Oregon,76
Pennsylvania,88
Rhode Island,100
South Carolina,85
South Dakota,76
Tennessee,82
Texas,86
Utah,71
Vermont,73
Virginia,94
Washington,80
West Virginia,95
Wisconsin,83
Wyoming,83
