geoName,weak
Alabama,87
Alaska,88
Arizona,74
Arkansas,81
California,78
Colorado,72
Connecticut,79
Delaware,91
District of Columbia,71
Florida,77
Georgia,81
Hawaii,82
Idaho,77
Illinois,73
Indiana,77
Iowa,82
Kansas,82
Kentucky,82
Louisiana,84
Maine,68
Maryland,81
Massachusetts,72
Michigan,83
Minnesota,72
Mississippi,84
Missouri,81
Montana,70
Nebraska,75
Nevada,76
New Hampshire,94
New Jersey,83
New Mexico,80
New York,81
North Carolina,84
North Dakota,58
Ohio,84
Oklahoma,73
Oregon,62
Pennsylvania,93
Rhode Island,97
South Carolina,76
South Dakota,92
Tennessee,80
Texas,78
Utah,77
Vermont,68
Virginia,93
Washington,74
West Virginia,100
Wisconsin,75
Wyoming,70
