geoName,weak
Alabama,95
Alaska,76
Arizona,79
Arkansas,100
California,85
Colorado,72
Connecticut,86
Delaware,83
District of Columbia,67
Florida,76
Georgia,78
Hawaii,96
Idaho,76
Illinois,77
Indiana,84
Iowa,81
Kansas,77
Kentucky,95
Louisiana,80
Maine,67
Maryland,89
Massachusetts,78
Michigan,84
Minnesota,69
Mississippi,85
Missouri,75
Montana,71
Nebraska,72
Nevada,76
New Hampshire,73
New Jersey,83
New Mexico,87
New York,77
North Carolina,82
North Dakota,73
Ohio,83
Oklahoma,79
Oregon,52
Pennsylvania,88
Rhode Island,84
South Carolina,91
South Dakota,77
Tennessee,82
Texas,81
Utah,78
Vermont,70
Virginia,87
Washington,79
West Virginia,99
Wisconsin,82
Wyoming,73
