geoName,weak
Alabama,93
Alaska,86
Arizona,81
Arkansas,89
California,81
Colorado,71
Connecticut,91
Delaware,95
District of Columbia,76
Florida,79
Georgia,86
Hawaii,95
Idaho,86
Illinois,77
Indiana,88
Iowa,80
Kansas,67
Kentucky,85
Louisiana,91
Maine,74
Maryland,95
Massachusetts,79
Michigan,84
Minnesota,75
Mississippi,98
Missouri,81
Montana,78
Nebraska,71
Nevada,84
New Hampshire,90
New Jersey,85
New Mexico,83
New York,82
North Carolina,90
North Dakota,91
Ohio,87
Oklahoma,80
Oregon,57
Pennsylvania,91
Rhode Island,96
South Carolina,87
South Dakota,86
Tennessee,90
Texas,85
Utah,75
Vermont,69
Virginia,73
Washington,78
West Virginia,100
Wisconsin,80
Wyoming,75
