geoName,weak
Alabama,84
Alaska,76
Arizona,71
Arkansas,87
California,76
Colorado,66
Connecticut,72
Delaware,75
District of Columbia,63
Florida,73
Georgia,75
Hawaii,91
Idaho,73
Illinois,67
Indiana,82
Iowa,76
Kansas,73
Kentucky,91
Louisiana,86
Maine,77
Maryland,76
Massachusetts,76
Michigan,77
Minnesota,71
Mississippi,94
Missouri,78
Montana,73
Nebraska,77
Nevada,72
New Hampshire,77
New Jersey,81
New Mexico,77
New York,73
North Carolina,80
North Dakota,100
Ohio,76
Oklahoma,91
Oregon,67
Pennsylvania,89
Rhode Island,85
South Carolina,80
South Dakota,74
Tennessee,76
Texas,75
Utah,64
Vermont,74
Virginia,88
Washington,72
West Virginia,87
Wisconsin,72
Wyoming,82
