date,grouchy,isPartial
2016-01-03,84,False
2016-01-10,71,False
2016-01-17,57,False
2016-01-24,73,False
2016-01-31,77,False
2016-02-07,65,False
2016-02-14,62,False
2016-02-21,58,False
2016-02-28,78,False
2016-03-06,65,False
2016-03-13,78,False
2016-03-20,83,False
2016-03-27,83,False
2016-04-03,100,False
2016-04-10,92,False
2016-04-17,77,False
2016-04-24,82,False
2016-05-01,88,False
2016-05-08,89,False
2016-05-15,61,False
2016-05-22,72,False
2016-05-29,60,False
2016-06-05,62,False
2016-06-12,65,False
2016-06-19,41,False
2016-06-26,41,False
2016-07-03,58,False
2016-07-10,53,False
2016-07-17,62,False
2016-07-24,41,False
2016-07-31,32,False
2016-08-07,57,False
2016-08-14,50,False
2016-08-21,34,False
2016-08-28,39,False
2016-09-04,62,False
2016-09-11,64,False
2016-09-18,69,False
2016-09-25,62,False
2016-10-02,61,False
2016-10-09,50,False
2016-10-16,69,False
2016-10-23,84,False
2016-10-30,76,False
2016-11-06,47,False
2016-11-13,50,False
2016-11-20,59,False
2016-11-27,59,False
2016-12-04,72,False
2016-12-11,57,False
2016-12-18,62,False
2016-12-25,44,False
