date,grouchy,isPartial
2013-01-06,50,False
2013-01-13,58,False
2013-01-20,63,False
2013-01-27,63,False
2013-02-03,45,False
2013-02-10,54,False
2013-02-17,40,False
2013-02-24,64,False
2013-03-03,75,False
2013-03-10,86,False
2013-03-17,80,False
2013-03-24,84,False
2013-03-31,49,False
2013-04-07,100,False
2013-04-14,63,False
2013-04-21,64,False
2013-04-28,85,False
2013-05-05,64,False
2013-05-12,72,False
2013-05-19,52,False
2013-05-26,60,False
2013-06-02,74,False
2013-06-09,50,False
2013-06-16,51,False
2013-06-23,73,False
2013-06-30,51,False
2013-07-07,47,False
2013-07-14,59,False
2013-07-21,52,False
2013-07-28,61,False
2013-08-04,75,False
2013-08-11,42,False
2013-08-18,57,False
2013-08-25,83,False
2013-09-01,81,False
2013-09-08,56,False
2013-09-15,63,False
2013-09-22,59,False
2013-09-29,62,False
2013-10-06,45,False
2013-10-13,58,False
2013-10-20,85,False
2013-10-27,64,False
2013-11-03,51,False
2013-11-10,60,False
2013-11-17,40,False
2013-11-24,47,False
2013-12-01,51,False
2013-12-08,80,False
2013-12-15,68,False
2013-12-22,64,False
2013-12-29,59,False
