date,grouchy,isPartial
2012-01-01,82,False
2012-01-08,76,False
2012-01-15,79,False
2012-01-22,80,False
2012-01-29,77,False
2012-02-05,72,False
2012-02-12,70,False
2012-02-19,100,False
2012-02-26,67,False
2012-03-04,86,False
2012-03-11,64,False
2012-03-18,82,False
2012-03-25,82,False
2012-04-01,78,False
2012-04-08,88,False
2012-04-15,89,False
2012-04-22,72,False
2012-04-29,82,False
2012-05-06,58,False
2012-05-13,62,False
2012-05-20,61,False
2012-05-27,60,False
2012-06-03,64,False
2012-06-10,49,False
2012-06-17,52,False
2012-06-24,50,False
2012-07-01,49,False
2012-07-08,43,False
2012-07-15,45,False
2012-07-22,41,False
2012-07-29,59,False
2012-08-05,57,False
2012-08-12,32,False
2012-08-19,46,False
2012-08-26,44,False
2012-09-02,54,False
2012-09-09,51,False
2012-09-16,54,False
2012-09-23,37,False
2012-09-30,67,False
2012-10-07,48,False
2012-10-14,54,False
2012-10-21,57,False
2012-10-28,46,False
2012-11-04,37,False
2012-11-11,57,False
2012-11-18,33,False
2012-11-25,54,False
2012-12-02,66,False
2012-12-09,49,False
2012-12-16,54,False
2012-12-23,58,False
2012-12-30,54,False
