date,grouchy,isPartial
2014-01-05,37,False
2014-01-12,49,False
2014-01-19,47,False
2014-01-26,54,False
2014-02-02,51,False
2014-02-09,65,False
2014-02-16,62,False
2014-02-23,71,False
2014-03-02,40,False
2014-03-09,59,False
2014-03-16,52,False
2014-03-23,74,False
2014-03-30,66,False
2014-04-06,60,False
2014-04-13,57,False
2014-04-20,89,False
2014-04-27,69,False
2014-05-04,62,False
2014-05-11,66,False
2014-05-18,69,False
2014-05-25,55,False
2014-06-01,65,False
2014-06-08,48,False
2014-06-15,61,False
2014-06-22,50,False
2014-06-29,56,False
2014-07-06,31,False
2014-07-13,46,False
2014-07-20,37,False
2014-07-27,56,False
2014-08-03,75,False
2014-08-10,57,False
2014-08-17,47,False
2014-08-24,50,False
2014-08-31,50,False
2014-09-07,38,False
2014-09-14,58,False
2014-09-21,54,False
2014-09-28,68,False
2014-10-05,44,False
2014-10-12,54,False
2014-10-19,62,False
2014-10-26,83,False
2014-11-02,46,False
2014-11-09,61,False
2014-11-16,61,False
2014-11-23,41,False
2014-11-30,75,False
2014-12-07,51,False
2014-12-14,52,False
2014-12-21,52,False
2014-12-28,100,False
