date,grouchy,isPartial
2015-01-04,50,False
2015-01-11,49,False
2015-01-18,65,False
2015-01-25,50,False
2015-02-01,73,False
2015-02-08,76,False
2015-02-15,57,False
2015-02-22,68,False
2015-03-01,78,False
2015-03-08,68,False
2015-03-15,74,False
2015-03-22,64,False
2015-03-29,86,False
2015-04-05,52,False
2015-04-12,66,False
2015-04-19,80,False
2015-04-26,84,False
2015-05-03,64,False
2015-05-10,100,False
2015-05-17,66,False
2015-05-24,61,False
2015-05-31,65,False
2015-06-07,44,False
2015-06-14,63,False
2015-06-21,77,False
2015-06-28,57,False
2015-07-05,68,False
2015-07-12,65,False
2015-07-19,77,False
2015-07-26,32,False
2015-08-02,60,False
2015-08-09,67,False
2015-08-16,71,False
2015-08-23,52,False
2015-08-30,70,False
2015-09-06,65,False
2015-09-13,66,False
2015-09-20,78,False
2015-09-27,55,False
2015-10-04,64,False
2015-10-11,70,False
2015-10-18,45,False
2015-10-25,71,False
2015-11-01,61,False
2015-11-08,49,False
2015-11-15,88,False
2015-11-22,69,False
2015-11-29,80,False
2015-12-06,61,False
2015-12-13,44,False
2015-12-20,53,False
2015-12-27,58,False
