date,trajectory,isPartial
2014-01-05,65,False
2014-01-12,65,False
2014-01-19,55,False
2014-01-26,66,False
2014-02-02,50,False
2014-02-09,62,False
2014-02-16,66,False
2014-02-23,72,False
2014-03-02,76,False
2014-03-09,62,False
2014-03-16,53,False
2014-03-23,64,False
2014-03-30,57,False
2014-04-06,50,False
2014-04-13,67,False
2014-04-20,49,False
2014-04-27,68,False
2014-05-04,56,False
2014-05-11,52,False
2014-05-18,48,False
2014-05-25,48,False
2014-06-01,52,False
2014-06-08,55,False
2014-06-15,43,False
2014-06-22,41,False
2014-06-29,55,False
2014-07-06,37,False
2014-07-13,59,False
2014-07-20,43,False
2014-07-27,52,False
2014-08-03,49,False
2014-08-10,55,False
2014-08-17,55,False
2014-08-24,48,False
2014-08-31,52,False
2014-09-07,72,False
2014-09-14,83,False
2014-09-21,81,False
2014-09-28,75,False
2014-10-05,89,False
2014-10-12,100,False
2014-10-19,92,False
2014-10-26,89,False
2014-11-02,91,False
2014-11-09,91,False
2014-11-16,100,False
2014-11-23,86,False
2014-11-30,73,False
2014-12-07,90,False
2014-12-14,57,False
2014-12-21,46,False
2014-12-28,53,False
