date,trajectory,isPartial
2012-01-01,44,False
2012-01-08,49,False
2012-01-15,50,False
2012-01-22,54,False
2012-01-29,58,False
2012-02-05,58,False
2012-02-12,50,False
2012-02-19,48,False
2012-02-26,61,False
2012-03-04,48,False
2012-03-11,51,False
2012-03-18,51,False
2012-03-25,55,False
2012-04-01,51,False
2012-04-08,56,False
2012-04-15,63,False
2012-04-22,51,False
2012-04-29,45,False
2012-05-06,40,False
2012-05-13,47,False
2012-05-20,49,False
2012-05-27,52,False
2012-06-03,35,False
2012-06-10,42,False
2012-06-17,36,False
2012-06-24,39,False
2012-07-01,24,False
2012-07-08,35,False
2012-07-15,32,False
2012-07-22,35,False
2012-07-29,40,False
2012-08-05,33,False
2012-08-12,30,False
2012-08-19,54,False
2012-08-26,64,False
2012-09-02,59,False
2012-09-09,70,False
2012-09-16,62,False
2012-09-23,74,False
2012-09-30,65,False
2012-10-07,65,False
2012-10-14,64,False
2012-10-21,69,False
2012-10-28,100,False
2012-11-04,67,False
2012-11-11,73,False
2012-11-18,61,False
2012-11-25,71,False
2012-12-02,62,False
2012-12-09,50,False
2012-12-16,43,False
2012-12-23,34,False
2012-12-30,48,False
