geoName,trajectory
Alabama,54
Alaska,91
Arizona,50
Arkansas,54
California,43
Colorado,55
Connecticut,50
Delaware,33
District of Columbia,37
Florida,40
Georgia,36
Hawaii,33
Idaho,87
Illinois,35
Indiana,67
Iowa,32
Kansas,47
Kentucky,67
Louisiana,43
Maine,71
Maryland,43
Massachusetts,50
Michigan,50
Minnesota,46
Mississippi,44
Missouri,55
Montana,100
Nebraska,61
Nevada,30
New Hampshire,57
New Jersey,43
New Mexico,50
New York,35
North Carolina,40
North Dakota,94
Ohio,46
Oklahoma,56
Oregon,37
Pennsylvania,49
Rhode Island,57
South Carolina,58
South Dakota,49
Tennessee,59
Texas,44
Utah,57
Vermont,83
Virginia,53
Washington,55
West Virginia,60
Wisconsin,42
Wyoming,98
