date,trajectory,isPartial
2016-01-03,19,False
2016-01-10,18,False
2016-01-17,23,False
2016-01-24,26,False
2016-01-31,22,False
2016-02-07,25,False
2016-02-14,21,False
2016-02-21,36,False
2016-02-28,27,False
2016-03-06,23,False
2016-03-13,21,False
2016-03-20,55,False
2016-03-27,28,False
2016-04-03,20,False
2016-04-10,20,False
2016-04-17,22,False
2016-04-24,20,False
2016-05-01,18,False
2016-05-08,17,False
2016-05-15,15,False
2016-05-22,15,False
2016-05-29,16,False
2016-06-05,16,False
2016-06-12,14,False
2016-06-19,14,False
2016-06-26,12,False
2016-07-03,15,False
2016-07-10,17,False
2016-07-17,12,False
2016-07-24,13,False
2016-07-31,16,False
2016-08-07,13,False
2016-08-14,13,False
2016-08-21,16,False
2016-08-28,21,False
2016-09-04,17,False
2016-09-11,20,False
2016-09-18,22,False
2016-09-25,27,False
2016-10-02,100,False
2016-10-09,31,False
2016-10-16,32,False
2016-10-23,29,False
2016-10-30,29,False
2016-11-06,22,False
2016-11-13,31,False
2016-11-20,21,False
2016-11-27,25,False
2016-12-04,23,False
2016-12-11,17,False
2016-12-18,16,False
2016-12-25,14,False
