date,trajectory,isPartial
2015-01-04,58,False
2015-01-11,60,False
2015-01-18,56,False
2015-01-25,75,False
2015-02-01,68,False
2015-02-08,66,False
2015-02-15,61,False
2015-02-22,63,False
2015-03-01,62,False
2015-03-08,54,False
2015-03-15,55,False
2015-03-22,56,False
2015-03-29,54,False
2015-04-05,57,False
2015-04-12,43,False
2015-04-19,48,False
2015-04-26,55,False
2015-05-03,55,False
2015-05-10,49,False
2015-05-17,47,False
2015-05-24,51,False
2015-05-31,53,False
2015-06-07,47,False
2015-06-14,46,False
2015-06-21,46,False
2015-06-28,29,False
2015-07-05,42,False
2015-07-12,44,False
2015-07-19,41,False
2015-07-26,33,False
2015-08-02,32,False
2015-08-09,48,False
2015-08-16,40,False
2015-08-23,70,False
2015-08-30,63,False
2015-09-06,71,False
2015-09-13,66,False
2015-09-20,75,False
2015-09-27,100,False
2015-10-04,91,False
2015-10-11,83,False
2015-10-18,88,False
2015-10-25,83,False
2015-11-01,71,False
2015-11-08,87,False
2015-11-15,86,False
2015-11-22,71,False
2015-11-29,87,False
2015-12-06,69,False
2015-12-13,68,False
2015-12-20,55,False
2015-12-27,47,False
