geoName,trajectory
Alabama,48
Alaska,65
Arizona,52
Arkansas,54
California,47
Colorado,32
Connecticut,36
Delaware,63
District of Columbia,43
Florida,32
Georgia,40
Hawaii,58
Idaho,79
Illinois,37
Indiana,61
Iowa,45
Kansas,47
Kentucky,45
Louisiana,42
Maine,27
Maryland,62
Massachusetts,44
Michigan,45
Minnesota,45
Mississippi,45
Missouri,50
Montana,73
Nebraska,46
Nevada,30
New Hampshire,33
New Jersey,34
New Mexico,49
New York,35
North Carolina,43
North Dakota,100
Ohio,38
Oklahoma,43
Oregon,23
Pennsylvania,49
Rhode Island,66
South Carolina,38
South Dakota,60
Tennessee,43
Texas,41
Utah,60
Vermont,62
Virginia,35
Washington,44
West Virginia,50
Wisconsin,41
Wyoming,46
