date,trajectory,isPartial
2011-01-02,62,False
2011-01-09,41,False
2011-01-16,58,False
2011-01-23,66,False
2011-01-30,54,False
2011-02-06,71,False
2011-02-13,76,False
2011-02-20,62,False
2011-02-27,57,False
2011-03-06,72,False
2011-03-13,49,False
2011-03-20,55,False
2011-03-27,47,False
2011-04-03,53,False
2011-04-10,54,False
2011-04-17,44,False
2011-04-24,61,False
2011-05-01,54,False
2011-05-08,46,False
2011-05-15,43,False
2011-05-22,40,False
2011-05-29,46,False
2011-06-05,55,False
2011-06-12,43,False
2011-06-19,36,False
2011-06-26,45,False
2011-07-03,65,False
2011-07-10,51,False
2011-07-17,45,False
2011-07-24,50,False
2011-07-31,41,False
2011-08-07,35,False
2011-08-14,46,False
2011-08-21,100,False
2011-08-28,69,False
2011-09-04,58,False
2011-09-11,61,False
2011-09-18,88,False
2011-09-25,81,False
2011-10-02,60,False
2011-10-09,68,False
2011-10-16,71,False
2011-10-23,78,False
2011-10-30,80,False
2011-11-06,88,False
2011-11-13,82,False
2011-11-20,65,False
2011-11-27,86,False
2011-12-04,71,False
2011-12-11,64,False
2011-12-18,69,False
2011-12-25,48,False
