geoName,trajectory
Alabama,76
Alaska,96
Arizona,59
Arkansas,71
California,66
Colorado,59
Connecticut,52
Delaware,60
District of Columbia,57
Florida,85
Georgia,66
Hawaii,73
Idaho,97
Illinois,61
Indiana,62
Iowa,64
Kansas,60
Kentucky,61
Louisiana,65
Maine,68
Maryland,76
Massachusetts,65
Michigan,77
Minnesota,70
Mississippi,89
Missouri,62
Montana,90
Nebraska,53
Nevada,51
New Hampshire,65
New Jersey,62
New Mexico,75
New York,63
North Carolina,68
North Dakota,73
Ohio,70
Oklahoma,68
Oregon,56
Pennsylvania,65
Rhode Island,80
South Carolina,78
South Dakota,90
Tennessee,64
Texas,64
Utah,87
Vermont,80
Virginia,88
Washington,65
West Virginia,68
Wisconsin,71
Wyoming,100
