geoName,trajectory
Alabama,76
Alaska,100
Arizona,46
Arkansas,59
California,45
Colorado,60
Connecticut,47
Delaware,53
District of Columbia,44
Florida,40
Georgia,49
Hawaii,29
Idaho,66
Illinois,43
Indiana,60
Iowa,43
Kansas,39
Kentucky,41
Louisiana,51
Maine,53
Maryland,73
Massachusetts,46
Michigan,45
Minnesota,45
Mississippi,43
Missouri,56
Montana,89
Nebraska,37
Nevada,20
New Hampshire,52
New Jersey,42
New Mexico,59
New York,41
North Carolina,51
North Dakota,56
Ohio,41
Oklahoma,45
Oregon,33
Pennsylvania,52
Rhode Island,31
South Carolina,36
South Dakota,58
Tennessee,53
Texas,51
Utah,50
Vermont,39
Virginia,30
Washington,43
West Virginia,42
Wisconsin,42
Wyoming,57
