geoName,distraught
Alabama,36
Alaska,58
Arizona,59
Arkansas,40
California,59
Colorado,17
Connecticut,44
Delaware,0
District of Columbia,43
Florida,72
Georgia,57
Hawaii,45
Idaho,18
Illinois,65
Indiana,74
Iowa,41
Kansas,35
Kentucky,68
Louisiana,73
Maine,52
Maryland,61
Massachusetts,57
Michigan,46
Minnesota,48
Mississippi,100
Missouri,41
Montana,30
Nebraska,59
Nevada,74
New Hampshire,44
New Jersey,77
New Mexico,95
New York,64
North Carolina,37
North Dakota,37
Ohio,54
Oklahoma,66
Oregon,51
Pennsylvania,73
Rhode Island,57
South Carolina,26
South Dakota,74
Tennessee,62
Texas,52
Utah,41
Vermont,33
Virginia,69
Washington,68
West Virginia,99
Wisconsin,55
Wyoming,0
