geoName,distraught
Alabama,57
Alaska,48
Arizona,37
Arkansas,52
California,55
Colorado,27
Connecticut,39
Delaware,35
District of Columbia,50
Florida,54
Georgia,47
Hawaii,55
Idaho,35
Illinois,54
Indiana,52
Iowa,41
Kansas,61
Kentucky,47
Louisiana,40
Maine,39
Maryland,41
Massachusetts,43
Michigan,48
Minnesota,46
Mississippi,43
Missouri,36
Montana,53
Nebraska,34
Nevada,40
New Hampshire,36
New Jersey,52
New Mexico,34
New York,45
North Carolina,49
North Dakota,38
Ohio,49
Oklahoma,54
Oregon,36
Pennsylvania,47
Rhode Island,43
South Carolina,60
South Dakota,64
Tennessee,30
Texas,50
Utah,40
Vermont,100
Virginia,46
Washington,40
West Virginia,40
Wisconsin,34
Wyoming,0
