date,distraught,isPartial
2013-01-06,56,False
2013-01-13,85,False
2013-01-20,78,False
2013-01-27,74,False
2013-02-03,80,False
2013-02-10,69,False
2013-02-17,71,False
2013-02-24,68,False
2013-03-03,75,False
2013-03-10,54,False
2013-03-17,89,False
2013-03-24,70,False
2013-03-31,60,False
2013-04-07,66,False
2013-04-14,70,False
2013-04-21,97,False
2013-04-28,70,False
2013-05-05,70,False
2013-05-12,77,False
2013-05-19,76,False
2013-05-26,52,False
2013-06-02,65,False
2013-06-09,63,False
2013-06-16,51,False
2013-06-23,48,False
2013-06-30,51,False
2013-07-07,60,False
2013-07-14,54,False
2013-07-21,46,False
2013-07-28,56,False
2013-08-04,69,False
2013-08-11,68,False
2013-08-18,54,False
2013-08-25,75,False
2013-09-01,85,False
2013-09-08,87,False
2013-09-15,76,False
2013-09-22,97,False
2013-09-29,84,False
2013-10-06,80,False
2013-10-13,100,False
2013-10-20,71,False
2013-10-27,78,False
2013-11-03,81,False
2013-11-10,82,False
2013-11-17,83,False
2013-11-24,58,False
2013-12-01,93,False
2013-12-08,85,False
2013-12-15,77,False
2013-12-22,31,False
2013-12-29,53,False
