geoName,distraught
Alabama,79
Alaska,95
Arizona,98
Arkansas,92
California,76
Colorado,54
Connecticut,79
Delaware,73
District of Columbia,36
Florida,77
Georgia,73
Hawaii,100
Idaho,67
Illinois,73
Indiana,77
Iowa,48
Kansas,81
Kentucky,66
Louisiana,70
Maine,34
Maryland,92
Massachusetts,69
Michigan,59
Minnesota,72
Mississippi,65
Missouri,70
Montana,93
Nebraska,16
Nevada,72
New Hampshire,59
New Jersey,66
New Mexico,59
New York,73
North Carolina,52
North Dakota,23
Ohio,78
Oklahoma,82
Oregon,41
Pennsylvania,80
Rhode Island,25
South Carolina,61
South Dakota,70
Tennessee,76
Texas,73
Utah,68
Vermont,0
Virginia,66
Washington,51
West Virginia,38
Wisconsin,67
Wyoming,0
