date,distraught,isPartial
2012-01-01,69,False
2012-01-08,48,False
2012-01-15,73,False
2012-01-22,59,False
2012-01-29,59,False
2012-02-05,55,False
2012-02-12,92,False
2012-02-19,70,False
2012-02-26,78,False
2012-03-04,54,False
2012-03-11,71,False
2012-03-18,49,False
2012-03-25,84,False
2012-04-01,81,False
2012-04-08,58,False
2012-04-15,70,False
2012-04-22,76,False
2012-04-29,90,False
2012-05-06,65,False
2012-05-13,75,False
2012-05-20,71,False
2012-05-27,53,False
2012-06-03,67,False
2012-06-10,56,False
2012-06-17,66,False
2012-06-24,73,False
2012-07-01,65,False
2012-07-08,64,False
2012-07-15,53,False
2012-07-22,68,False
2012-07-29,87,False
2012-08-05,67,False
2012-08-12,80,False
2012-08-19,86,False
2012-08-26,56,False
2012-09-02,77,False
2012-09-09,75,False
2012-09-16,72,False
2012-09-23,87,False
2012-09-30,75,False
2012-10-07,91,False
2012-10-14,85,False
2012-10-21,80,False
2012-10-28,91,False
2012-11-04,100,False
2012-11-11,76,False
2012-11-18,58,False
2012-11-25,74,False
2012-12-02,81,False
2012-12-09,85,False
2012-12-16,67,False
2012-12-23,39,False
2012-12-30,78,False
