date,distraught,isPartial
2011-01-02,47,False
2011-01-09,62,False
2011-01-16,52,False
2011-01-23,71,False
2011-01-30,80,False
2011-02-06,66,False
2011-02-13,48,False
2011-02-20,87,False
2011-02-27,63,False
2011-03-06,62,False
2011-03-13,79,False
2011-03-20,66,False
2011-03-27,69,False
2011-04-03,76,False
2011-04-10,69,False
2011-04-17,38,False
2011-04-24,70,False
2011-05-01,66,False
2011-05-08,73,False
2011-05-15,63,False
2011-05-22,81,False
2011-05-29,37,False
2011-06-05,54,False
2011-06-12,65,False
2011-06-19,73,False
2011-06-26,45,False
2011-07-03,60,False
2011-07-10,50,False
2011-07-17,56,False
2011-07-24,67,False
2011-07-31,62,False
2011-08-07,58,False
2011-08-14,46,False
2011-08-21,63,False
2011-08-28,51,False
2011-09-04,75,False
2011-09-11,96,False
2011-09-18,77,False
2011-09-25,77,False
2011-10-02,89,False
2011-10-09,73,False
2011-10-16,87,False
2011-10-23,100,False
2011-10-30,97,False
2011-11-06,93,False
2011-11-13,79,False
2011-11-20,73,False
2011-11-27,68,False
2011-12-04,76,False
2011-12-11,85,False
2011-12-18,53,False
2011-12-25,44,False
