date,distraught,isPartial
2015-01-04,60,False
2015-01-11,81,False
2015-01-18,64,False
2015-01-25,75,False
2015-02-01,58,False
2015-02-08,61,False
2015-02-15,44,False
2015-02-22,73,False
2015-03-01,77,False
2015-03-08,76,False
2015-03-15,78,False
2015-03-22,88,False
2015-03-29,58,False
2015-04-05,71,False
2015-04-12,63,False
2015-04-19,94,False
2015-04-26,89,False
2015-05-03,73,False
2015-05-10,63,False
2015-05-17,74,False
2015-05-24,70,False
2015-05-31,47,False
2015-06-07,44,False
2015-06-14,56,False
2015-06-21,31,False
2015-06-28,46,False
2015-07-05,33,False
2015-07-12,49,False
2015-07-19,64,False
2015-07-26,44,False
2015-08-02,26,False
2015-08-09,41,False
2015-08-16,69,False
2015-08-23,59,False
2015-08-30,78,False
2015-09-06,69,False
2015-09-13,77,False
2015-09-20,77,False
2015-09-27,83,False
2015-10-04,92,False
2015-10-11,100,False
2015-10-18,83,False
2015-10-25,77,False
2015-11-01,77,False
2015-11-08,90,False
2015-11-15,100,False
2015-11-22,46,False
2015-11-29,79,False
2015-12-06,83,False
2015-12-13,57,False
2015-12-20,45,False
2015-12-27,37,False
