date,distraught,isPartial
2014-01-05,78,False
2014-01-12,71,False
2014-01-19,64,False
2014-01-26,56,False
2014-02-02,66,False
2014-02-09,64,False
2014-02-16,58,False
2014-02-23,90,False
2014-03-02,82,False
2014-03-09,100,False
2014-03-16,59,False
2014-03-23,54,False
2014-03-30,68,False
2014-04-06,68,False
2014-04-13,54,False
2014-04-20,68,False
2014-04-27,76,False
2014-05-04,78,False
2014-05-11,61,False
2014-05-18,73,False
2014-05-25,60,False
2014-06-01,52,False
2014-06-08,48,False
2014-06-15,49,False
2014-06-22,46,False
2014-06-29,43,False
2014-07-06,53,False
2014-07-13,35,False
2014-07-20,52,False
2014-07-27,43,False
2014-08-03,45,False
2014-08-10,53,False
2014-08-17,59,False
2014-08-24,75,False
2014-08-31,78,False
2014-09-07,66,False
2014-09-14,81,False
2014-09-21,75,False
2014-09-28,72,False
2014-10-05,84,False
2014-10-12,66,False
2014-10-19,64,False
2014-10-26,58,False
2014-11-02,55,False
2014-11-09,61,False
2014-11-16,73,False
2014-11-23,39,False
2014-11-30,78,False
2014-12-07,78,False
2014-12-14,58,False
2014-12-21,40,False
2014-12-28,51,False
