date,distraught,isPartial
2016-01-03,53,False
2016-01-10,47,False
2016-01-17,58,False
2016-01-24,62,False
2016-01-31,65,False
2016-02-07,52,False
2016-02-14,56,False
2016-02-21,56,False
2016-02-28,61,False
2016-03-06,60,False
2016-03-13,46,False
2016-03-20,49,False
2016-03-27,58,False
2016-04-03,50,False
2016-04-10,67,False
2016-04-17,78,False
2016-04-24,68,False
2016-05-01,68,False
2016-05-08,55,False
2016-05-15,64,False
2016-05-22,43,False
2016-05-29,43,False
2016-06-05,46,False
2016-06-12,41,False
2016-06-19,48,False
2016-06-26,33,False
2016-07-03,47,False
2016-07-10,29,False
2016-07-17,28,False
2016-07-24,31,False
2016-07-31,46,False
2016-08-07,37,False
2016-08-14,45,False
2016-08-21,39,False
2016-08-28,48,False
2016-09-04,47,False
2016-09-11,64,False
2016-09-18,49,False
2016-09-25,55,False
2016-10-02,66,False
2016-10-09,60,False
2016-10-16,54,False
2016-10-23,65,False
2016-10-30,62,False
2016-11-06,100,False
2016-11-13,71,False
2016-11-20,51,False
2016-11-27,79,False
2016-12-04,61,False
2016-12-11,69,False
2016-12-18,53,False
2016-12-25,31,False
