date,oppressed,isPartial
2016-01-03,23,False
2016-01-10,22,False
2016-01-17,22,False
2016-01-24,23,False
2016-01-31,35,False
2016-02-07,33,False
2016-02-14,27,False
2016-02-21,35,False
2016-02-28,30,False
2016-03-06,31,False
2016-03-13,26,False
2016-03-20,22,False
2016-03-27,24,False
2016-04-03,23,False
2016-04-10,22,False
2016-04-17,27,False
2016-04-24,28,False
2016-05-01,28,False
2016-05-08,23,False
2016-05-15,24,False
2016-05-22,27,False
2016-05-29,15,False
2016-06-05,16,False
2016-06-12,20,False
2016-06-19,20,False
2016-06-26,19,False
2016-07-03,34,False
2016-07-10,24,False
2016-07-17,17,False
2016-07-24,18,False
2016-07-31,11,False
2016-08-07,12,False
2016-08-14,15,False
2016-08-21,25,False
2016-08-28,100,False
2016-09-04,33,False
2016-09-11,51,False
2016-09-18,40,False
2016-09-25,33,False
2016-10-02,25,False
2016-10-09,32,False
2016-10-16,32,False
2016-10-23,32,False
2016-10-30,29,False
2016-11-06,43,False
2016-11-13,37,False
2016-11-20,24,False
2016-11-27,29,False
2016-12-04,31,False
2016-12-11,34,False
2016-12-18,18,False
2016-12-25,14,False
