geoName,oppressed
Alabama,55
Alaska,93
Arizona,43
Arkansas,42
California,71
Colorado,68
Connecticut,56
Delaware,74
District of Columbia,51
Florida,43
Georgia,55
Hawaii,38
Idaho,47
Illinois,61
Indiana,76
Iowa,37
Kansas,50
Kentucky,56
Louisiana,74
Maine,44
Maryland,58
Massachusetts,64
Michigan,60
Minnesota,33
Mississippi,63
Missouri,52
Montana,57
Nebraska,68
Nevada,47
New Hampshire,47
New Jersey,62
New Mexico,100
New York,67
North Carolina,49
North Dakota,70
Ohio,55
Oklahoma,69
Oregon,80
Pennsylvania,65
Rhode Island,85
South Carolina,62
South Dakota,70
Tennessee,59
Texas,42
Utah,47
Vermont,83
Virginia,47
Washington,73
West Virginia,75
Wisconsin,38
Wyoming,38
