date,unconcerned,isPartial
2013-01-06,15,False
2013-01-13,30,False
2013-01-20,46,False
2013-01-27,59,False
2013-02-03,15,False
2013-02-10,15,False
2013-02-17,0,False
2013-02-24,15,False
2013-03-03,44,False
2013-03-10,30,False
2013-03-17,74,False
2013-03-24,31,False
2013-03-31,30,False
2013-04-07,45,False
2013-04-14,29,False
2013-04-21,60,False
2013-04-28,15,False
2013-05-05,90,False
2013-05-12,15,False
2013-05-19,0,False
2013-05-26,16,False
2013-06-02,15,False
2013-06-09,16,False
2013-06-16,31,False
2013-06-23,32,False
2013-06-30,0,False
2013-07-07,15,False
2013-07-14,15,False
2013-07-21,15,False
2013-07-28,15,False
2013-08-04,0,False
2013-08-11,30,False
2013-08-18,30,False
2013-08-25,15,False
2013-09-01,30,False
2013-09-08,73,False
2013-09-15,15,False
2013-09-22,45,False
2013-09-29,15,False
2013-10-06,15,False
2013-10-13,15,False
2013-10-20,15,False
2013-10-27,73,False
2013-11-03,58,False
2013-11-10,58,False
2013-11-17,28,False
2013-11-24,31,False
2013-12-01,14,False
2013-12-08,100,False
2013-12-15,30,False
2013-12-22,0,False
2013-12-29,46,False
