date,unconcerned,isPartial
2016-01-03,75,False
2016-01-10,39,False
2016-01-17,80,False
2016-01-24,100,False
2016-01-31,72,False
2016-02-07,33,False
2016-02-14,52,False
2016-02-21,52,False
2016-02-28,44,False
2016-03-06,52,False
2016-03-13,19,False
2016-03-20,34,False
2016-03-27,40,False
2016-04-03,46,False
2016-04-10,59,False
2016-04-17,65,False
2016-04-24,59,False
2016-05-01,32,False
2016-05-08,27,False
2016-05-15,20,False
2016-05-22,41,False
2016-05-29,21,False
2016-06-05,41,False
2016-06-12,48,False
2016-06-19,35,False
2016-06-26,35,False
2016-07-03,22,False
2016-07-10,21,False
2016-07-17,14,False
2016-07-24,28,False
2016-07-31,35,False
2016-08-07,29,False
2016-08-14,15,False
2016-08-21,29,False
2016-08-28,27,False
2016-09-04,34,False
2016-09-11,80,False
2016-09-18,65,False
2016-09-25,33,False
2016-10-02,39,False
2016-10-09,47,False
2016-10-16,33,False
2016-10-23,66,False
2016-10-30,39,False
2016-11-06,24,False
2016-11-13,58,False
2016-11-20,34,False
2016-11-27,78,False
2016-12-04,54,False
2016-12-11,37,False
2016-12-18,7,False
2016-12-25,7,False
