date,unconcerned,isPartial
2011-01-02,29,False
2011-01-09,0,False
2011-01-16,28,False
2011-01-23,0,False
2011-01-30,0,False
2011-02-06,82,False
2011-02-13,85,False
2011-02-20,85,False
2011-02-27,0,False
2011-03-06,54,False
2011-03-13,0,False
2011-03-20,0,False
2011-03-27,0,False
2011-04-03,0,False
2011-04-10,0,False
2011-04-17,56,False
2011-04-24,28,False
2011-05-01,0,False
2011-05-08,28,False
2011-05-15,0,False
2011-05-22,28,False
2011-05-29,0,False
2011-06-05,28,False
2011-06-12,28,False
2011-06-19,28,False
2011-06-26,28,False
2011-07-03,0,False
2011-07-10,0,False
2011-07-17,0,False
2011-07-24,0,False
2011-07-31,0,False
2011-08-07,27,False
2011-08-14,81,False
2011-08-21,0,False
2011-08-28,26,False
2011-09-04,52,False
2011-09-11,25,False
2011-09-18,100,False
2011-09-25,75,False
2011-10-02,100,False
2011-10-09,0,False
2011-10-16,49,False
2011-10-23,0,False
2011-10-30,0,False
2011-11-06,0,False
2011-11-13,24,False
2011-11-20,25,False
2011-11-27,69,False
2011-12-04,23,False
2011-12-11,69,False
2011-12-18,0,False
2011-12-25,51,False
