date,unconcerned,isPartial
2012-01-01,35,False
2012-01-08,0,False
2012-01-15,17,False
2012-01-22,32,False
2012-01-29,81,False
2012-02-05,49,False
2012-02-12,16,False
2012-02-19,32,False
2012-02-26,17,False
2012-03-04,50,False
2012-03-11,33,False
2012-03-18,49,False
2012-03-25,33,False
2012-04-01,50,False
2012-04-08,17,False
2012-04-15,32,False
2012-04-22,65,False
2012-04-29,0,False
2012-05-06,32,False
2012-05-13,33,False
2012-05-20,16,False
2012-05-27,17,False
2012-06-03,100,False
2012-06-10,17,False
2012-06-17,17,False
2012-06-24,33,False
2012-07-01,0,False
2012-07-08,0,False
2012-07-15,0,False
2012-07-22,32,False
2012-07-29,0,False
2012-08-05,0,False
2012-08-12,48,False
2012-08-19,32,False
2012-08-26,16,False
2012-09-02,48,False
2012-09-09,31,False
2012-09-16,31,False
2012-09-23,15,False
2012-09-30,15,False
2012-10-07,59,False
2012-10-14,58,False
2012-10-21,15,False
2012-10-28,15,False
2012-11-04,72,False
2012-11-11,15,False
2012-11-18,0,False
2012-11-25,14,False
2012-12-02,57,False
2012-12-09,28,False
2012-12-16,29,False
2012-12-23,0,False
2012-12-30,0,False
