date,unconcerned,isPartial
2015-01-04,25,False
2015-01-11,43,False
2015-01-18,20,False
2015-01-25,5,False
2015-02-01,19,False
2015-02-08,19,False
2015-02-15,19,False
2015-02-22,9,False
2015-03-01,47,False
2015-03-08,19,False
2015-03-15,24,False
2015-03-22,11,False
2015-03-29,0,False
2015-04-05,5,False
2015-04-12,14,False
2015-04-19,15,False
2015-04-26,25,False
2015-05-03,25,False
2015-05-10,15,False
2015-05-17,21,False
2015-05-24,21,False
2015-05-31,16,False
2015-06-07,32,False
2015-06-14,5,False
2015-06-21,16,False
2015-06-28,0,False
2015-07-05,11,False
2015-07-12,16,False
2015-07-19,16,False
2015-07-26,5,False
2015-08-02,5,False
2015-08-09,16,False
2015-08-16,36,False
2015-08-23,31,False
2015-08-30,35,False
2015-09-06,91,False
2015-09-13,34,False
2015-09-20,62,False
2015-09-27,72,False
2015-10-04,19,False
2015-10-11,10,False
2015-10-18,28,False
2015-10-25,24,False
2015-11-01,9,False
2015-11-08,19,False
2015-11-15,42,False
2015-11-22,71,False
2015-11-29,100,False
2015-12-06,51,False
2015-12-13,43,False
2015-12-20,22,False
2015-12-27,20,False
