date,unconcerned,isPartial
2014-01-05,65,False
2014-01-12,26,False
2014-01-19,52,False
2014-01-26,0,False
2014-02-02,27,False
2014-02-09,26,False
2014-02-16,77,False
2014-02-23,25,False
2014-03-02,25,False
2014-03-09,52,False
2014-03-16,26,False
2014-03-23,13,False
2014-03-30,78,False
2014-04-06,52,False
2014-04-13,27,False
2014-04-20,53,False
2014-04-27,40,False
2014-05-04,40,False
2014-05-11,41,False
2014-05-18,44,False
2014-05-25,48,False
2014-06-01,31,False
2014-06-08,16,False
2014-06-15,16,False
2014-06-22,16,False
2014-06-29,0,False
2014-07-06,31,False
2014-07-13,31,False
2014-07-20,0,False
2014-07-27,31,False
2014-08-03,16,False
2014-08-10,76,False
2014-08-17,15,False
2014-08-24,60,False
2014-08-31,30,False
2014-09-07,57,False
2014-09-14,43,False
2014-09-21,58,False
2014-09-28,73,False
2014-10-05,87,False
2014-10-12,43,False
2014-10-19,58,False
2014-10-26,58,False
2014-11-02,71,False
2014-11-09,42,False
2014-11-16,100,False
2014-11-23,0,False
2014-11-30,54,False
2014-12-07,42,False
2014-12-14,30,False
2014-12-21,17,False
2014-12-28,16,False
