geoName,gain
Alabama,93
Alaska,78
Arizona,85
Arkansas,87
California,87
Colorado,79
Connecticut,89
Delaware,83
District of Columbia,84
Florida,90
Georgia,88
Hawaii,92
Idaho,92
Illinois,86
Indiana,87
Iowa,87
Kansas,84
Kentucky,95
Louisiana,100
Maine,81
Maryland,92
Massachusetts,90
Michigan,89
Minnesota,83
Mississippi,97
Missouri,88
Montana,82
Nebraska,83
Nevada,87
New Hampshire,90
New Jersey,91
New Mexico,84
New York,87
North Carolina,90
North Dakota,75
Ohio,90
Oklahoma,93
Oregon,54
Pennsylvania,93
Rhode Island,88
South Carolina,91
South Dakota,90
Tennessee,90
Texas,90
Utah,80
Vermont,83
Virginia,88
Washington,85
West Virginia,97
Wisconsin,85
Wyoming,79
