date,gain,isPartial
2011-01-02,93,False
2011-01-09,92,False
2011-01-16,90,False
2011-01-23,96,False
2011-01-30,88,False
2011-02-06,96,False
2011-02-13,94,False
2011-02-20,94,False
2011-02-27,96,False
2011-03-06,94,False
2011-03-13,92,False
2011-03-20,93,False
2011-03-27,93,False
2011-04-03,97,False
2011-04-10,100,False
2011-04-17,89,False
2011-04-24,95,False
2011-05-01,92,False
2011-05-08,91,False
2011-05-15,96,False
2011-05-22,96,False
2011-05-29,88,False
2011-06-05,95,False
2011-06-12,93,False
2011-06-19,90,False
2011-06-26,93,False
2011-07-03,92,False
2011-07-10,93,False
2011-07-17,90,False
2011-07-24,88,False
2011-07-31,93,False
2011-08-07,91,False
2011-08-14,88,False
2011-08-21,86,False
2011-08-28,90,False
2011-09-04,83,False
2011-09-11,93,False
2011-09-18,90,False
2011-09-25,91,False
2011-10-02,90,False
2011-10-09,98,False
2011-10-16,95,False
2011-10-23,89,False
2011-10-30,92,False
2011-11-06,85,False
2011-11-13,93,False
2011-11-20,76,False
2011-11-27,86,False
2011-12-04,85,False
2011-12-11,83,False
2011-12-18,76,False
2011-12-25,77,False
