geoName,gain
Alabama,93
Alaska,78
Arizona,76
Arkansas,89
California,75
Colorado,79
Connecticut,83
Delaware,88
District of Columbia,78
Florida,77
Georgia,87
Hawaii,71
Idaho,80
Illinois,78
Indiana,85
Iowa,78
Kansas,72
Kentucky,91
Louisiana,92
Maine,73
Maryland,79
Massachusetts,82
Michigan,81
Minnesota,74
Mississippi,100
Missouri,82
Montana,73
Nebraska,75
Nevada,70
New Hampshire,79
New Jersey,80
New Mexico,72
New York,81
North Carolina,87
North Dakota,77
Ohio,82
Oklahoma,81
Oregon,69
Pennsylvania,83
Rhode Island,81
South Carolina,84
South Dakota,79
Tennessee,81
Texas,74
Utah,72
Vermont,71
Virginia,83
Washington,75
West Virginia,96
Wisconsin,75
Wyoming,85
