date,gain,isPartial
2016-01-03,91,False
2016-01-10,91,False
2016-01-17,94,False
2016-01-24,97,False
2016-01-31,95,False
2016-02-07,93,False
2016-02-14,94,False
2016-02-21,96,False
2016-02-28,95,False
2016-03-06,98,False
2016-03-13,95,False
2016-03-20,91,False
2016-03-27,94,False
2016-04-03,98,False
2016-04-10,100,False
2016-04-17,95,False
2016-04-24,94,False
2016-05-01,88,False
2016-05-08,90,False
2016-05-15,92,False
2016-05-22,91,False
2016-05-29,86,False
2016-06-05,82,False
2016-06-12,85,False
2016-06-19,86,False
2016-06-26,84,False
2016-07-03,82,False
2016-07-10,90,False
2016-07-17,88,False
2016-07-24,85,False
2016-07-31,85,False
2016-08-07,77,False
2016-08-14,77,False
2016-08-21,77,False
2016-08-28,80,False
2016-09-04,88,False
2016-09-11,88,False
2016-09-18,82,False
2016-09-25,90,False
2016-10-02,82,False
2016-10-09,84,False
2016-10-16,85,False
2016-10-23,84,False
2016-10-30,89,False
2016-11-06,82,False
2016-11-13,84,False
2016-11-20,70,False
2016-11-27,88,False
2016-12-04,85,False
2016-12-11,84,False
2016-12-18,73,False
2016-12-25,75,False
