date,gain,isPartial
2013-01-06,51,False
2013-01-13,51,False
2013-01-20,54,False
2013-01-27,50,False
2013-02-03,49,False
2013-02-10,47,False
2013-02-17,49,False
2013-02-24,50,False
2013-03-03,52,False
2013-03-10,53,False
2013-03-17,51,False
2013-03-24,54,False
2013-03-31,58,False
2013-04-07,62,False
2013-04-14,66,False
2013-04-21,97,False
2013-04-28,100,False
2013-05-05,72,False
2013-05-12,66,False
2013-05-19,58,False
2013-05-26,57,False
2013-06-02,53,False
2013-06-09,52,False
2013-06-16,50,False
2013-06-23,54,False
2013-06-30,49,False
2013-07-07,53,False
2013-07-14,54,False
2013-07-21,51,False
2013-07-28,52,False
2013-08-04,49,False
2013-08-11,60,False
2013-08-18,58,False
2013-08-25,73,False
2013-09-01,78,False
2013-09-08,63,False
2013-09-15,54,False
2013-09-22,53,False
2013-09-29,50,False
2013-10-06,49,False
2013-10-13,52,False
2013-10-20,49,False
2013-10-27,50,False
2013-11-03,52,False
2013-11-10,49,False
2013-11-17,48,False
2013-11-24,43,False
2013-12-01,47,False
2013-12-08,47,False
2013-12-15,44,False
2013-12-22,42,False
2013-12-29,49,False
