geoName,gain
Alabama,99
Alaska,87
Arizona,87
Arkansas,96
California,85
Colorado,84
Connecticut,91
Delaware,97
District of Columbia,86
Florida,90
Georgia,89
Hawaii,79
Idaho,93
Illinois,85
Indiana,93
Iowa,94
Kansas,79
Kentucky,97
Louisiana,99
Maine,81
Maryland,94
Massachusetts,90
Michigan,88
Minnesota,82
Mississippi,100
Missouri,88
Montana,90
Nebraska,93
Nevada,85
New Hampshire,84
New Jersey,91
New Mexico,81
New York,91
North Carolina,92
North Dakota,83
Ohio,92
Oklahoma,90
Oregon,64
Pennsylvania,94
Rhode Island,92
South Carolina,96
South Dakota,87
Tennessee,91
Texas,88
Utah,89
Vermont,80
Virginia,74
Washington,81
West Virginia,100
Wisconsin,84
Wyoming,81
