geoName,gain
Alabama,91
Alaska,81
Arizona,83
Arkansas,87
California,79
Colorado,76
Connecticut,82
Delaware,88
District of Columbia,73
Florida,84
Georgia,85
Hawaii,77
Idaho,83
Illinois,77
Indiana,86
Iowa,82
Kansas,74
Kentucky,87
Louisiana,85
Maine,80
Maryland,86
Massachusetts,83
Michigan,80
Minnesota,78
Mississippi,100
Missouri,82
Montana,72
Nebraska,84
Nevada,80
New Hampshire,77
New Jersey,87
New Mexico,80
New York,83
North Carolina,88
North Dakota,83
Ohio,86
Oklahoma,87
Oregon,47
Pennsylvania,86
Rhode Island,90
South Carolina,87
South Dakota,81
Tennessee,83
Texas,81
Utah,78
Vermont,79
Virginia,71
Washington,76
West Virginia,94
Wisconsin,77
Wyoming,69
