geoName,gain
Alabama,95
Alaska,70
Arizona,76
Arkansas,88
California,72
Colorado,74
Connecticut,79
Delaware,88
District of Columbia,75
Florida,82
Georgia,85
Hawaii,74
Idaho,77
Illinois,77
Indiana,83
Iowa,78
Kansas,78
Kentucky,85
Louisiana,86
Maine,72
Maryland,80
Massachusetts,78
Michigan,76
Minnesota,72
Mississippi,100
Missouri,77
Montana,70
Nebraska,78
Nevada,73
New Hampshire,68
New Jersey,82
New Mexico,77
New York,79
North Carolina,88
North Dakota,81
Ohio,76
Oklahoma,86
Oregon,69
Pennsylvania,82
Rhode Island,81
South Carolina,81
South Dakota,78
Tennessee,80
Texas,78
Utah,75
Vermont,70
Virginia,84
Washington,74
West Virginia,92
Wisconsin,74
Wyoming,70
