geoName,nervous
Alabama,79
Alaska,75
Arizona,69
Arkansas,73
California,67
Colorado,68
Connecticut,76
Delaware,83
District of Columbia,56
Florida,76
Georgia,66
Hawaii,59
Idaho,78
Illinois,65
Indiana,85
Iowa,84
Kansas,75
Kentucky,79
Louisiana,73
Maine,90
Maryland,82
Massachusetts,77
Michigan,74
Minnesota,64
Mississippi,91
Missouri,73
Montana,69
Nebraska,62
Nevada,75
New Hampshire,77
New Jersey,81
New Mexico,99
New York,76
North Carolina,72
North Dakota,84
Ohio,82
Oklahoma,64
Oregon,64
Pennsylvania,73
Rhode Island,87
South Carolina,78
South Dakota,100
Tennessee,71
Texas,67
Utah,61
Vermont,91
Virginia,65
Washington,59
West Virginia,94
Wisconsin,86
Wyoming,94
