date,nervous,isPartial
2012-01-01,63,False
2012-01-08,76,False
2012-01-15,71,False
2012-01-22,83,False
2012-01-29,83,False
2012-02-05,85,False
2012-02-12,83,False
2012-02-19,85,False
2012-02-26,92,False
2012-03-04,82,False
2012-03-11,76,False
2012-03-18,84,False
2012-03-25,81,False
2012-04-01,84,False
2012-04-08,85,False
2012-04-15,93,False
2012-04-22,100,False
2012-04-29,97,False
2012-05-06,94,False
2012-05-13,92,False
2012-05-20,82,False
2012-05-27,72,False
2012-06-03,67,False
2012-06-10,65,False
2012-06-17,54,False
2012-06-24,53,False
2012-07-01,53,False
2012-07-08,54,False
2012-07-15,54,False
2012-07-22,58,False
2012-07-29,54,False
2012-08-05,52,False
2012-08-12,56,False
2012-08-19,61,False
2012-08-26,69,False
2012-09-02,73,False
2012-09-09,88,False
2012-09-16,83,False
2012-09-23,85,False
2012-09-30,84,False
2012-10-07,81,False
2012-10-14,77,False
2012-10-21,79,False
2012-10-28,72,False
2012-11-04,79,False
2012-11-11,83,False
2012-11-18,58,False
2012-11-25,86,False
2012-12-02,85,False
2012-12-09,84,False
2012-12-16,63,False
2012-12-23,39,False
2012-12-30,51,False
