geoName,nervous
Alabama,90
Alaska,57
Arizona,70
Arkansas,81
California,68
Colorado,69
Connecticut,78
Delaware,89
District of Columbia,53
Florida,76
Georgia,68
Hawaii,61
Idaho,71
Illinois,69
Indiana,88
Iowa,76
Kansas,73
Kentucky,85
Louisiana,74
Maine,86
Maryland,76
Massachusetts,77
Michigan,70
Minnesota,67
Mississippi,78
Missouri,74
Montana,76
Nebraska,60
Nevada,68
New Hampshire,72
New Jersey,70
New Mexico,85
New York,75
North Carolina,80
North Dakota,92
Ohio,73
Oklahoma,65
Oregon,46
Pennsylvania,76
Rhode Island,79
South Carolina,84
South Dakota,90
Tennessee,76
Texas,71
Utah,65
Vermont,90
Virginia,65
Washington,60
West Virginia,100
Wisconsin,77
Wyoming,52
