date,nervous,isPartial
2014-01-05,63,False
2014-01-12,77,False
2014-01-19,75,False
2014-01-26,83,False
2014-02-02,81,False
2014-02-09,81,False
2014-02-16,84,False
2014-02-23,91,False
2014-03-02,83,False
2014-03-09,82,False
2014-03-16,84,False
2014-03-23,86,False
2014-03-30,85,False
2014-04-06,93,False
2014-04-13,87,False
2014-04-20,93,False
2014-04-27,96,False
2014-05-04,100,False
2014-05-11,88,False
2014-05-18,85,False
2014-05-25,78,False
2014-06-01,70,False
2014-06-08,57,False
2014-06-15,51,False
2014-06-22,54,False
2014-06-29,54,False
2014-07-06,55,False
2014-07-13,51,False
2014-07-20,53,False
2014-07-27,51,False
2014-08-03,51,False
2014-08-10,50,False
2014-08-17,57,False
2014-08-24,60,False
2014-08-31,69,False
2014-09-07,79,False
2014-09-14,83,False
2014-09-21,78,False
2014-09-28,87,False
2014-10-05,76,False
2014-10-12,78,False
2014-10-19,84,False
2014-10-26,81,False
2014-11-02,84,False
2014-11-09,82,False
2014-11-16,81,False
2014-11-23,58,False
2014-11-30,94,False
2014-12-07,89,False
2014-12-14,71,False
2014-12-21,37,False
2014-12-28,41,False
