geoName,nervous
Alabama,85
Alaska,70
Arizona,75
Arkansas,79
California,76
Colorado,76
Connecticut,82
Delaware,78
District of Columbia,62
Florida,77
Georgia,79
Hawaii,79
Idaho,79
Illinois,71
Indiana,91
Iowa,86
Kansas,73
Kentucky,94
Louisiana,77
Maine,89
Maryland,79
Massachusetts,80
Michigan,77
Minnesota,75
Mississippi,89
Missouri,81
Montana,74
Nebraska,69
Nevada,69
New Hampshire,78
New Jersey,79
New Mexico,73
New York,70
North Carolina,83
North Dakota,100
Ohio,77
Oklahoma,72
Oregon,63
Pennsylvania,77
Rhode Island,96
South Carolina,85
South Dakota,95
Tennessee,70
Texas,74
Utah,76
Vermont,88
Virginia,71
Washington,58
West Virginia,79
Wisconsin,81
Wyoming,72
