date,nervous,isPartial
2015-01-04,66,False
2015-01-11,81,False
2015-01-18,84,False
2015-01-25,82,False
2015-02-01,92,False
2015-02-08,90,False
2015-02-15,79,False
2015-02-22,91,False
2015-03-01,87,False
2015-03-08,90,False
2015-03-15,93,False
2015-03-22,89,False
2015-03-29,84,False
2015-04-05,80,False
2015-04-12,100,False
2015-04-19,94,False
2015-04-26,93,False
2015-05-03,96,False
2015-05-10,98,False
2015-05-17,88,False
2015-05-24,75,False
2015-05-31,71,False
2015-06-07,63,False
2015-06-14,55,False
2015-06-21,51,False
2015-06-28,50,False
2015-07-05,52,False
2015-07-12,54,False
2015-07-19,50,False
2015-07-26,53,False
2015-08-02,51,False
2015-08-09,50,False
2015-08-16,54,False
2015-08-23,65,False
2015-08-30,84,False
2015-09-06,80,False
2015-09-13,91,False
2015-09-20,89,False
2015-09-27,94,False
2015-10-04,87,False
2015-10-11,88,False
2015-10-18,88,False
2015-10-25,88,False
2015-11-01,91,False
2015-11-08,94,False
2015-11-15,92,False
2015-11-22,62,False
2015-11-29,89,False
2015-12-06,100,False
2015-12-13,82,False
2015-12-20,46,False
2015-12-27,43,False
