date,nervous,isPartial
2011-01-02,68,False
2011-01-09,69,False
2011-01-16,71,False
2011-01-23,84,False
2011-01-30,84,False
2011-02-06,93,False
2011-02-13,86,False
2011-02-20,90,False
2011-02-27,90,False
2011-03-06,80,False
2011-03-13,81,False
2011-03-20,93,False
2011-03-27,89,False
2011-04-03,89,False
2011-04-10,90,False
2011-04-17,87,False
2011-04-24,97,False
2011-05-01,100,False
2011-05-08,93,False
2011-05-15,91,False
2011-05-22,83,False
2011-05-29,67,False
2011-06-05,68,False
2011-06-12,63,False
2011-06-19,60,False
2011-06-26,56,False
2011-07-03,54,False
2011-07-10,60,False
2011-07-17,60,False
2011-07-24,59,False
2011-07-31,54,False
2011-08-07,56,False
2011-08-14,59,False
2011-08-21,67,False
2011-08-28,70,False
2011-09-04,73,False
2011-09-11,78,False
2011-09-18,96,False
2011-09-25,88,False
2011-10-02,85,False
2011-10-09,79,False
2011-10-16,83,False
2011-10-23,88,False
2011-10-30,83,False
2011-11-06,83,False
2011-11-13,90,False
2011-11-20,67,False
2011-11-27,87,False
2011-12-04,94,False
2011-12-11,85,False
2011-12-18,53,False
2011-12-25,44,False
