geoName,moody
Alabama,100
Alaska,26
Arizona,15
Arkansas,32
California,14
Colorado,20
Connecticut,19
Delaware,18
District of Columbia,17
Florida,26
Georgia,39
Hawaii,8
Idaho,26
Illinois,36
Indiana,32
Iowa,24
Kansas,21
Kentucky,23
Louisiana,35
Maine,36
Maryland,19
Massachusetts,28
Michigan,21
Minnesota,18
Mississippi,29
Missouri,22
Montana,22
Nebraska,24
Nevada,15
New Hampshire,30
New Jersey,16
New Mexico,16
New York,16
North Carolina,30
North Dakota,15
Ohio,25
Oklahoma,22
Oregon,19
Pennsylvania,19
Rhode Island,16
South Carolina,24
South Dakota,47
Tennessee,31
Texas,69
Utah,18
Vermont,17
Virginia,23
Washington,19
West Virginia,16
Wisconsin,18
Wyoming,14
