geoName,moody
Alabama,100
Alaska,23
Arizona,16
Arkansas,25
California,14
Colorado,19
Connecticut,19
Delaware,15
District of Columbia,19
Florida,26
Georgia,35
Hawaii,13
Idaho,18
Illinois,35
Indiana,29
Iowa,18
Kansas,20
Kentucky,22
Louisiana,34
Maine,40
Maryland,18
Massachusetts,32
Michigan,21
Minnesota,19
Mississippi,26
Missouri,18
Montana,20
Nebraska,24
Nevada,12
New Hampshire,28
New Jersey,16
New Mexico,19
New York,16
North Carolina,28
North Dakota,17
Ohio,23
Oklahoma,26
Oregon,11
Pennsylvania,18
Rhode Island,16
South Carolina,25
South Dakota,42
Tennessee,27
Texas,65
Utah,18
Vermont,17
Virginia,16
Washington,20
West Virginia,19
Wisconsin,18
Wyoming,15
