date,moody,isPartial
2016-01-03,88,False
2016-01-10,82,False
2016-01-17,89,False
2016-01-24,87,False
2016-01-31,93,False
2016-02-07,86,False
2016-02-14,82,False
2016-02-21,88,False
2016-02-28,91,False
2016-03-06,91,False
2016-03-13,96,False
2016-03-20,94,False
2016-03-27,89,False
2016-04-03,85,False
2016-04-10,85,False
2016-04-17,95,False
2016-04-24,88,False
2016-05-01,85,False
2016-05-08,87,False
2016-05-15,89,False
2016-05-22,85,False
2016-05-29,90,False
2016-06-05,85,False
2016-06-12,99,False
2016-06-19,89,False
2016-06-26,87,False
2016-07-03,96,False
2016-07-10,90,False
2016-07-17,100,False
2016-07-24,88,False
2016-07-31,88,False
2016-08-07,85,False
2016-08-14,81,False
2016-08-21,83,False
2016-08-28,83,False
2016-09-04,76,False
2016-09-11,77,False
2016-09-18,79,False
2016-09-25,77,False
2016-10-02,81,False
2016-10-09,77,False
2016-10-16,80,False
2016-10-23,85,False
2016-10-30,81,False
2016-11-06,72,False
2016-11-13,85,False
2016-11-20,87,False
2016-11-27,96,False
2016-12-04,88,False
2016-12-11,89,False
2016-12-18,92,False
2016-12-25,92,False
