date,moody,isPartial
2014-01-05,70,False
2014-01-12,72,False
2014-01-19,75,False
2014-01-26,84,False
2014-02-02,73,False
2014-02-09,74,False
2014-02-16,89,False
2014-02-23,82,False
2014-03-02,92,False
2014-03-09,92,False
2014-03-16,82,False
2014-03-23,84,False
2014-03-30,78,False
2014-04-06,82,False
2014-04-13,80,False
2014-04-20,91,False
2014-04-27,78,False
2014-05-04,93,False
2014-05-11,85,False
2014-05-18,87,False
2014-05-25,82,False
2014-06-01,82,False
2014-06-08,80,False
2014-06-15,84,False
2014-06-22,88,False
2014-06-29,82,False
2014-07-06,82,False
2014-07-13,92,False
2014-07-20,83,False
2014-07-27,87,False
2014-08-03,100,False
2014-08-10,91,False
2014-08-17,89,False
2014-08-24,87,False
2014-08-31,81,False
2014-09-07,88,False
2014-09-14,80,False
2014-09-21,80,False
2014-09-28,76,False
2014-10-05,73,False
2014-10-12,70,False
2014-10-19,71,False
2014-10-26,75,False
2014-11-02,72,False
2014-11-09,78,False
2014-11-16,84,False
2014-11-23,72,False
2014-11-30,79,False
2014-12-07,81,False
2014-12-14,86,False
2014-12-21,83,False
2014-12-28,83,False
