date,moody,isPartial
2015-01-04,79,False
2015-01-11,75,False
2015-01-18,76,False
2015-01-25,72,False
2015-02-01,77,False
2015-02-08,77,False
2015-02-15,74,False
2015-02-22,74,False
2015-03-01,81,False
2015-03-08,79,False
2015-03-15,85,False
2015-03-22,80,False
2015-03-29,79,False
2015-04-05,96,False
2015-04-12,73,False
2015-04-19,76,False
2015-04-26,77,False
2015-05-03,81,False
2015-05-10,84,False
2015-05-17,79,False
2015-05-24,86,False
2015-05-31,76,False
2015-06-07,100,False
2015-06-14,76,False
2015-06-21,86,False
2015-06-28,93,False
2015-07-05,82,False
2015-07-12,76,False
2015-07-19,83,False
2015-07-26,82,False
2015-08-02,88,False
2015-08-09,94,False
2015-08-16,79,False
2015-08-23,77,False
2015-08-30,77,False
2015-09-06,75,False
2015-09-13,72,False
2015-09-20,68,False
2015-09-27,72,False
2015-10-04,71,False
2015-10-11,76,False
2015-10-18,69,False
2015-10-25,70,False
2015-11-01,80,False
2015-11-08,80,False
2015-11-15,81,False
2015-11-22,68,False
2015-11-29,69,False
2015-12-06,84,False
2015-12-13,81,False
2015-12-20,76,False
2015-12-27,77,False
