date,moody,isPartial
2013-01-06,62,False
2013-01-13,60,False
2013-01-20,60,False
2013-01-27,61,False
2013-02-03,63,False
2013-02-10,61,False
2013-02-17,66,False
2013-02-24,67,False
2013-03-03,100,False
2013-03-10,81,False
2013-03-17,71,False
2013-03-24,68,False
2013-03-31,68,False
2013-04-07,64,False
2013-04-14,60,False
2013-04-21,69,False
2013-04-28,71,False
2013-05-05,65,False
2013-05-12,66,False
2013-05-19,69,False
2013-05-26,69,False
2013-06-02,74,False
2013-06-09,74,False
2013-06-16,76,False
2013-06-23,71,False
2013-06-30,75,False
2013-07-07,67,False
2013-07-14,71,False
2013-07-21,72,False
2013-07-28,75,False
2013-08-04,80,False
2013-08-11,80,False
2013-08-18,67,False
2013-08-25,65,False
2013-09-01,67,False
2013-09-08,60,False
2013-09-15,66,False
2013-09-22,66,False
2013-09-29,71,False
2013-10-06,65,False
2013-10-13,67,False
2013-10-20,64,False
2013-10-27,63,False
2013-11-03,66,False
2013-11-10,64,False
2013-11-17,61,False
2013-11-24,62,False
2013-12-01,65,False
2013-12-08,61,False
2013-12-15,61,False
2013-12-22,67,False
2013-12-29,60,False
