geoName,moody
Alabama,100
Alaska,12
Arizona,12
Arkansas,24
California,11
Colorado,15
Connecticut,15
Delaware,10
District of Columbia,14
Florida,19
Georgia,32
Hawaii,11
Idaho,15
Illinois,31
Indiana,22
Iowa,16
Kansas,16
Kentucky,19
Louisiana,21
Maine,36
Maryland,12
Massachusetts,26
Michigan,15
Minnesota,14
Mississippi,21
Missouri,15
Montana,15
Nebraska,17
Nevada,13
New Hampshire,22
New Jersey,12
New Mexico,13
New York,13
North Carolina,26
North Dakota,14
Ohio,18
Oklahoma,16
Oregon,16
Pennsylvania,15
Rhode Island,13
South Carolina,19
South Dakota,33
Tennessee,26
Texas,56
Utah,14
Vermont,19
Virginia,19
Washington,15
West Virginia,12
Wisconsin,15
Wyoming,12
