date,moody,isPartial
2011-01-02,46,False
2011-01-09,47,False
2011-01-16,50,False
2011-01-23,49,False
2011-01-30,50,False
2011-02-06,54,False
2011-02-13,53,False
2011-02-20,53,False
2011-02-27,50,False
2011-03-06,48,False
2011-03-13,56,False
2011-03-20,53,False
2011-03-27,59,False
2011-04-03,52,False
2011-04-10,51,False
2011-04-17,54,False
2011-04-24,57,False
2011-05-01,53,False
2011-05-08,57,False
2011-05-15,63,False
2011-05-22,74,False
2011-05-29,83,False
2011-06-05,100,False
2011-06-12,94,False
2011-06-19,75,False
2011-06-26,71,False
2011-07-03,69,False
2011-07-10,68,False
2011-07-17,65,False
2011-07-24,64,False
2011-07-31,62,False
2011-08-07,61,False
2011-08-14,60,False
2011-08-21,54,False
2011-08-28,51,False
2011-09-04,51,False
2011-09-11,56,False
2011-09-18,52,False
2011-09-25,50,False
2011-10-02,52,False
2011-10-09,51,False
2011-10-16,54,False
2011-10-23,49,False
2011-10-30,50,False
2011-11-06,51,False
2011-11-13,56,False
2011-11-20,49,False
2011-11-27,51,False
2011-12-04,55,False
2011-12-11,50,False
2011-12-18,49,False
2011-12-25,48,False
