geoName,moody
Alabama,100
Alaska,21
Arizona,14
Arkansas,27
California,14
Colorado,21
Connecticut,18
Delaware,19
District of Columbia,15
Florida,23
Georgia,35
Hawaii,14
Idaho,20
Illinois,33
Indiana,28
Iowa,15
Kansas,14
Kentucky,25
Louisiana,31
Maine,36
Maryland,15
Massachusetts,28
Michigan,17
Minnesota,15
Mississippi,22
Missouri,18
Montana,17
Nebraska,19
Nevada,14
New Hampshire,24
New Jersey,14
New Mexico,18
New York,16
North Carolina,27
North Dakota,14
Ohio,23
Oklahoma,24
Oregon,14
Pennsylvania,18
Rhode Island,15
South Carolina,22
South Dakota,34
Tennessee,28
Texas,52
Utah,17
Vermont,19
Virginia,13
Washington,20
West Virginia,13
Wisconsin,17
Wyoming,15
