geoName,moody
Alabama,100
Alaska,27
Arizona,19
Arkansas,32
California,18
Colorado,23
Connecticut,23
Delaware,24
District of Columbia,24
Florida,31
Georgia,40
Hawaii,14
Idaho,33
Illinois,45
Indiana,35
Iowa,24
Kansas,25
Kentucky,26
Louisiana,36
Maine,47
Maryland,21
Massachusetts,32
Michigan,24
Minnesota,22
Mississippi,30
Missouri,22
Montana,28
Nebraska,23
Nevada,19
New Hampshire,34
New Jersey,19
New Mexico,24
New York,20
North Carolina,29
North Dakota,38
Ohio,27
Oklahoma,30
Oregon,25
Pennsylvania,22
Rhode Island,21
South Carolina,28
South Dakota,49
Tennessee,35
Texas,77
Utah,23
Vermont,19
Virginia,27
Washington,24
West Virginia,21
Wisconsin,25
Wyoming,23
